event,scene_id,utterance,target_id,target_index,anchor_ids,base_pred,sparse_no_cal_pred,dense_no_cal_pred,dense_calibrated_pred,base_margin,base_entropy,relation_margin,calibrated_lambda
recovered,scene0340_00,'The lamp sitting on the floor next to the curtains.',31,31,"['2', '3']",28,31,31,31,0.0,1.102301,0.089201,0.034512
recovered,scene0340_00,This lamp is right next to a window,31,31,"['2', '3']",28,31,31,31,0.0,1.138682,0.089201,0.035048
recovered,scene0340_00,It is the lamp in the middle of the curtains.,31,31,"['2', '3']",28,31,31,31,0.0,1.108527,0.059829,0.034307
recovered,scene0340_00,"Place the camera so the two beds are on the right side of the image. Select the lamp that is in the center, on the far wall, in front of a window.",31,31,"['2', '3']",28,31,31,31,0.0,1.717853,0.063284,0.04326
recovered,scene0340_00,The correct lamp is directly in front of the window and inbetween the two curtains.,31,31,"['2', '3']",28,39,31,31,0.0,1.110907,0.191911,0.035673
recovered,scene0058_00,The desk that is on the side of the room where there are not chairs against the wall.,28,28,['6'],10,28,28,28,0.0,0.776157,0.018819,0.031747
recovered,scene0058_00,"NOT the desk with two blue chairs, including a non-swivel chair.",28,28,['6'],10,28,28,28,0.0,0.763953,0.018819,0.031555
recovered,scene0058_00,pick the smaller desk that has only one chair.,28,28,['6'],10,28,28,28,0.0,0.762319,0.018819,0.031529
recovered,scene0058_00,The desk far away from the blue door,28,28,['6'],10,28,28,28,0.0,0.740599,0.018819,0.031187
recovered,scene0330_00,"There are two blue pillows on the bed. When facing the wall, its the blue pillow on the right.",15,15,['2'],10,15,15,15,0.0,1.609835,0.003834,0.069172
recovered,scene0640_00,'The lamp over the desk.',2,2,['36'],1,2,2,2,0.0,0.700055,0.035023,0.02993
recovered,scene0640_00,The lamp at the foot of the bed.,2,2,['36'],1,2,2,2,0.0,0.697913,0.035023,0.029898
recovered,scene0640_00,It is a lamp on a desk that has a computer chair underneath it.,2,2,['36'],1,2,2,2,0.0,0.77814,0.035023,0.031081
recovered,scene0640_00,The lamp on the same side as the grey couch,2,2,['36'],1,2,2,2,0.0,1.08001,0.035023,0.035533
recovered,scene0640_00,the lamp above the desk next to the sofa.,2,2,['36'],1,2,2,2,0.0,0.693991,0.035023,0.029841
recovered,scene0640_00,"facing the windows, the left lamp",2,2,['36'],1,2,2,2,0.0,0.718163,0.035023,0.030197
recovered,scene0640_00,lamp on the computer desk,2,2,['36'],1,2,2,2,0.0,0.790383,0.035023,0.031262
recovered,scene0166_00,"If facing the shelf, it's the bag on the right, on the bottom.",37,37,"['14', '15', '36']",16,37,37,37,0.0,2.179815,0.043438,0.046385
recovered,scene0166_00,The top bag closest to the bookshelf.,36,36,['19'],16,36,36,36,0.0,1.969672,0.207799,0.068565
recovered,scene0166_00,"It's the bag closes to the book shelf on the top, a black purse.",36,36,['19'],16,36,36,36,0.0,1.964096,0.207799,0.068449
recovered,scene0166_00,These bags are in the boxes hanging on the wall nest to the dresser with shelves on top.,16,16,"['15', '14']",45,16,16,16,0.0,2.50057,0.033858,0.064364
recovered,scene0166_00,pick the bag next to the shelf and is above the other bags.,36,36,['19'],16,36,36,36,0.0,1.691312,0.207799,0.062758
recovered,scene0166_00,"Looking at the wall where several bags are hanging, I want you to pick the bag that is the nearest of the chest of draw and lowest on the wall.",37,37,"['14', '15', '36']",16,37,37,37,0.0,1.707037,0.043438,0.040114
recovered,scene0166_00,The bag that is under another bag and nearest the computer monitor,37,37,"['14', '15', '36']",41,37,37,41,0.196279,1.896402,0.043438,0.024229
recovered,scene0098_00,"the box is on the table, the bottom option near the door",27,27,"['19', '18']",1,27,27,27,0.0,1.409463,0.228761,0.040484
recovered,scene0098_00,Box under another box.,27,27,['1'],1,27,27,27,0.0,1.333556,0.420713,0.051415
recovered,scene0098_00,The box by the door and under another box,27,27,"['18', '1']",1,27,27,27,0.0,1.433958,0.162377,0.040103
recovered,scene0098_00,The box under the whiteboard,36,36,['17'],1,1,36,36,0.0,1.221388,0.886872,0.054669
recovered,scene0098_00,the box is under the white board,36,36,['17'],1,1,36,36,0.0,1.316507,0.886872,0.056777
recovered,scene0098_00,"Facing the whiteboards, it's the black box on the double shelf closest to the orange can.",36,36,"['32', '35']",1,36,36,36,0.0,1.788962,0.050117,0.043961
recovered,scene0098_00,pick the black box on the table,36,36,['32'],1,36,36,36,0.0,1.524685,0.058851,0.049983
recovered,scene0098_00,The bottom box of the two stacked on the desk in the corner near the door.,27,27,"['19', '18']",1,27,27,27,0.0,1.357008,0.228761,0.039684
recovered,scene0098_00,The little black box all by itself.,36,36,['17'],1,1,36,36,0.0,1.442433,0.886872,0.059567
recovered,scene0098_00,The box is black and is on the wall with the whiteboard.,36,36,['17'],1,1,36,36,0.0,1.272409,0.886872,0.0558
recovered,scene0098_00,"The large box on the long desk, it has another option above it, you want the one on the table",27,27,"['19', '18']",1,27,27,27,0.0,1.372687,0.228761,0.039923
recovered,scene0501_00,The towel next to the door.,32,32,['6'],20,32,32,32,0.0,0.698111,0.174458,0.032007
recovered,scene0501_00,This bottle is atop the vanity on the side nearer the door.,39,39,['4'],17,39,39,39,0.0,1.793762,0.044771,0.068043
recovered,scene0501_00,The towel closest to door,32,32,['6'],20,32,32,32,0.0,0.720179,0.174458,0.032374
recovered,scene0501_00,The towel is colorful and near the door,32,32,['6'],20,32,32,32,0.0,0.700896,0.174458,0.032053
recovered,scene0501_00,The towel closest to the door.,32,32,['6'],20,32,32,32,0.0,0.695951,0.174458,0.031971
harmed,scene0058_00,the desk closest to the chairs that are lined up against the wall,10,10,['18'],10,10,28,28,0.0,0.795648,0.250514,0.034258
harmed,scene0058_00,"While facing the window, the desk that is further away from the whiteboard",10,10,['18'],10,10,28,28,0.0,1.159408,0.250514,0.040386
harmed,scene0058_00,Choose the desk closest to the two blue chairs.,10,10,['18'],10,10,28,28,0.0,1.814034,0.250514,0.051414
harmed,scene0058_00,"From the two desks, pick the one that is bigger.",10,10,['18'],10,10,28,28,0.0,0.866437,0.250514,0.03545
harmed,scene0058_00,It's the desk that has two blue chairs pulled out from it.,10,10,['18'],10,10,28,28,0.0,0.782704,0.250514,0.03404
harmed,scene0166_00,the bag is hanging under the white suit on the door,16,16,"['15', '14']",16,39,39,39,0.0,1.666829,0.029926,0.047603
harmed,scene0166_00,The red bag hanging under the white coat.,16,16,['15'],16,38,38,38,0.0,1.662955,0.209855,0.062203
harmed,scene0166_00,red bag hanging on the door under the lab coat,16,16,"['14', '15']",16,39,39,39,0.0,1.693882,0.029926,0.048035
harmed,scene0166_00,"Red bag hanging under white coat, by itself.",16,16,['15'],16,38,38,38,0.0,1.651452,0.209855,0.061962
harmed,scene0166_00,The red bag hanging from the door,16,16,"['15', '14']",16,39,39,39,0.0,1.704224,0.029926,0.0482
harmed,scene0098_00,"of the two stack boxes, choose the top one",1,1,"['19', '18']",1,27,36,36,0.0,1.565592,0.095937,0.041276
harmed,scene0098_00,the top box on top of the table near the door,1,1,"['19', '18']",1,27,27,27,0.0,1.530483,0.228761,0.042329
harmed,scene0098_00,"Next to the door by the door handle side, you will choose the top box on the table",1,1,['19'],1,1,36,36,0.0,1.512872,0.285009,0.05306
harmed,scene0098_00,the top brown box on the table/desk near the front entrance,1,1,"['19', '18']",1,27,27,27,0.0,1.50263,0.228761,0.041904
harmed,scene0098_00,This box is on top of another box and by the door,1,1,"['19', '18']",1,27,27,27,0.0,1.308198,0.228761,0.03894
harmed,scene0098_00,"Of the two boxes that are together , choose the one that is not closest to the wall or closest to the bookcase.",1,1,"['19', '18']",1,27,27,27,0.0,1.213189,0.228761,0.037491
harmed,scene0688_00,Facing the bed the leftmost lamp.,13,13,['5'],13,13,31,31,0.0,0.734465,0.774381,0.03827
harmed,scene0416_00,It's the big brownish curtain covering the wall.,3,3,['48'],3,3,44,44,0.0,0.705596,0.063395,0.030264
harmed,scene0511_00,the larger trash can near the wall,8,8,['1'],8,8,22,22,0.0,0.701854,0.084152,0.033251
harmed,scene0511_00,Please select the trash can on the far left by the wall,8,8,['1'],8,8,22,22,0.0,0.72441,0.084152,0.03368
harmed,scene0511_00,This trash can is the one that is further from the brown cabinet. It is a larger trash can that sits on the floor,8,8,['1'],8,8,22,22,0.0,0.826516,0.084152,0.035624
harmed,scene0511_00,The biggest trashcan in the corner,8,8,['1'],8,8,22,22,0.0,0.740455,0.084152,0.033986
